Title,Link,Download_date
Turky láká syrská ropa a plyn,https://www.novinky.cz/clanek/ekonomika-turky-laka-syrska-ropa-a-plyn-40502394,2024-12-29
"Pohyb je prospěšný pro hubnutí, řekl soud muži, jemuž se nelíbil trest obecně prospěšných prací",https://www.novinky.cz/clanek/krimi-pohyb-je-prospesny-pro-hubnuti-rekl-soud-muzi-jemuz-se-nelibil-trest-obecne-prospesnych-praci-40502287,2024-12-29
Ukrajinci představili Šneka,https://www.novinky.cz/clanek/valka-na-ukrajine-ukrajinci-predstavili-sneka-40502476,2024-12-29
Tragédie labradorských Inuitů po návštěvě Prahy v 19. století,https://www.novinky.cz/clanek/historie-tragedie-labradorskych-inuitu-po-navsteve-prahy-v-19-stoleti-40467595,2024-12-29
"2024: V pop music se hrálo podle Taylor Swift. Nadchl i Vladimír Mišík. Oasis, Linkin Park i Lucie jsou opět v plné síle",https://www.novinky.cz/clanek/kultura-hudba-2024-v-pop-music-se-hralo-podle-taylor-swift-nadchl-i-vladimir-misik-oasis-linkin-park-i-lucie-jsou-opet-v-plne-sile-40502434,2024-12-29
"Někde sněžná děla chrlí sníh, jinde ne. Vlekaře trápí inverzní počasí",https://www.novinky.cz/clanek/cestovani-nekde-snezna-dela-chrli-snih-jinde-ne-vlekare-trapi-inverzni-pocasi-40502392,2024-12-29
Dva přeživší. Nejméně 176 mrtvých po nepovedeném přistávacím manévru letadla v Jižní Koreji,https://www.novinky.cz/clanek/zahranicni-nehoda-dopravniho-letadla-v-jizni-koreji-40502504,2024-12-29
KVÍZ: Zimní exotika na dosah. Jak dobře znáte cizokrajné destinace dostupné přímými lety z Česka?,https://www.novinky.cz/clanek/cestovani-kviz-zimni-exotika-na-dosah-jak-dobre-znate-cizokrajne-destinace-dostupne-primymi-lety-z-ceska-40501921,2024-12-29
Školák v Jeseníkách narazil na lyžích do kovové konstrukce,https://www.novinky.cz/clanek/krimi-skolak-v-jesenikach-narazil-na-lyzich-do-kovove-konstrukce-40502496,2024-12-29
"Na slevy zapomeňte. Tři mobily, které si stále drží svou cenu",https://www.novinky.cz/clanek/internet-a-pc-mobil-na-slevy-zapomente-tri-mobily-ktere-si-stale-drzi-svou-cenu-40502389,2024-12-29
Nastal zlom. Zájem o Windows 10 opět roste,https://www.novinky.cz/clanek/internet-a-pc-software-nastal-zlom-zajem-o-windows-10-opet-roste-40501724,2024-12-29
Jednotná nabíječka pro elektroniku je realitou. Výjimku mají jen notebooky,https://www.novinky.cz/clanek/internet-a-pc-jednotna-nabijecka-pro-elektroniku-je-realitou-vyjimku-maji-jen-notebooky-40502493,2024-12-29
