Title,Link,Download_date
Nebezpečný dropper útočí v Česku stále častěji,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-nebezpecny-dropper-utoci-v-cesku-stale-casteji-40502490,2024-12-29-12-25
Policista unikl odsouzení za držení zakázaných anabolik,https://www.novinky.cz/clanek/krimi-policista-unikl-odsouzeni-za-drzeni-zakazanych-anabolik-40502020,2024-12-29-12-25
"Romantická zřícenina. Hrad Krupka měl chránit bohaté doly, růže tu obdivoval Goethe",https://www.novinky.cz/clanek/cestovani-tipy-na-vylety-romanticka-zricenina-hrad-krupka-mel-chranit-bohate-doly-ruze-tu-obdivoval-goethe-40501763,2024-12-29-12-25
Záběry tragického přistání jihokorejského letadla: Do zdi nabouralo v plné rychlosti,https://www.novinky.cz/clanek/zahranicni-svet-zabery-tragickeho-pristani-jihokorejskeho-letadla-do-zdi-nabouralo-v-plne-rychlosti-40502521,2024-12-29-12-25
"Povodně, asteroid i mor v Anglii. Nostradamus líčí rok 2025 jako katastrofický",https://www.novinky.cz/clanek/koktejl-povodne-asteroid-i-mor-v-anglii-nostradamus-lici-rok-2025-jako-katastroficky-40502508,2024-12-29-12-25
KVÍZ: Cesta do pravěku oslaví sedmdesátiny. Znáte tvorbu Karla Zemana?,https://www.novinky.cz/clanek/kultura-filmy-serialy-kviz-cesta-do-praveku-oslavi-sedmdesatiny-znate-tvorbu-karla-zemana-40500856,2024-12-29-12-25
Hvězdný Ronaldo zkritizoval přední evropskou ligu. Ta už ostře vrátila úder,https://www.sport.cz/clanek/fotbal-hvezdny-ronaldo-zkritizoval-predni-evropskou-ligu-ta-uz-ostre-vratila-uder-5042927,2024-12-29-12-25
"Opilec si v Bavorsku spletl dům. Když přijeli policisté, udiveně se ptal, co dělají v jeho bytě",https://www.novinky.cz/clanek/koktejl-opilec-si-v-bavorsku-spletl-dum-kdyz-prijeli-policiste-udivene-se-ptal-co-delaji-v-jeho-byte-40502441,2024-12-29-12-25
"Ivana Tykač: Do politiky bych nikdy nešla, je nesvobodná. Chci ale přispět ke změně",https://www.novinky.cz/clanek/podcasty-politalk-ivana-tykac-do-politiky-bych-nikdy-nesla-je-nesvobodna-chci-ale-prispet-ke-zmene-40501328,2024-12-29-12-25
Test Hyundai i30 Kombi: Staromódní auto pro moderní časy,https://www.novinky.cz/clanek/auto-automoto-testy-test-hyundai-i30-kombi-staromodni-auto-pro-moderni-casy-40501230,2024-12-29-12-25
"Na Pálavě zimuje vzácný zedníček, jeho focení je hazard se životem",https://www.novinky.cz/clanek/domaci-zpravy-jihomoravsky-kraj-na-palave-zimuje-vzacny-zednicek-jeho-foceni-je-hazard-se-zivotem-40502492,2024-12-29-12-25
Ukrajinci představili Šneka,https://www.novinky.cz/clanek/valka-na-ukrajine-ukrajinci-predstavili-sneka-40502476,2024-12-29-12-25
Teslu bez pedálů a volantu lze řídit ovladačem herní konzole,https://www.novinky.cz/clanek/auto-teslu-bez-pedalu-a-volantu-lze-ridit-ovladacem-herni-konzole-40502357,2024-12-29-12-25
"Na Slovensku umírají psi v zoufalých podmínkách, nejhorší situace je na východě země u osad. Pomáhají i Češi",https://www.novinky.cz/clanek/domaci-na-slovensku-umiraji-psi-v-zoufalych-podminkach-nejhorsi-situace-je-na-vychode-zeme-u-osad-pomahaji-i-cesi-40502450,2024-12-29-12-25
Jednotná nabíječka pro elektroniku je realitou. Výjimku mají jen notebooky,https://www.novinky.cz/clanek/internet-a-pc-jednotna-nabijecka-pro-elektroniku-je-realitou-vyjimku-maji-jen-notebooky-40502493,2024-12-29-12-25
Po nebezpečném bankovním trojském koni se slehla zem,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-po-nebezpecnem-bankovnim-trojskem-koni-se-slehla-zem-40502397,2024-12-29-12-25
"2024: V pop music se hrálo podle Taylor Swift. Nadchl i Vladimír Mišík. Oasis, Linkin Park i Lucie jsou opět v plné síle",https://www.novinky.cz/clanek/kultura-hudba-2024-v-pop-music-se-hralo-podle-taylor-swift-nadchl-i-vladimir-misik-oasis-linkin-park-i-lucie-jsou-opet-v-plne-sile-40502434,2024-12-29-12-25
Turky láká syrská ropa a plyn,https://www.novinky.cz/clanek/ekonomika-turky-laka-syrska-ropa-a-plyn-40502394,2024-12-29-12-25
"Garance pro Ukrajinu jsou iluzí, řekl analytik",https://www.novinky.cz/clanek/podcasty-zbytecna-valka-garance-pro-ukrajinu-jsou-iluzi-rekl-analytik-40501903,2024-12-29-12-25
"Bohatství, které je tu v roce 2025 pro každého",https://www.novinky.cz/clanek/lifestyle-sex-vztahy-bohatstvi-ktere-je-tu-v-roce-2025-pro-kazdeho-40501882,2024-12-29-12-25
Na kurty už ne! Tenisová superstar očekává narození druhého potomka. Oznámila to stylově…,https://www.sport.cz/clanek/tenis-na-kurty-uz-ne-tenisova-superstar-ocekava-narozeni-druheho-potomka-oznamila-to-stylove-5042838,2024-12-29-12-25
Living Zoology: Zuzana a Matej s respektem v manželství i v divočině,https://www.novinky.cz/clanek/lifestyle-osobnosti-living-zoology-zuzana-a-matej-s-respektem-v-manzelstvi-i-v-divocine-40501973,2024-12-29-12-25
KOMENTÁŘ: Poselství vánočního roje balistických střel - Adéla Knapová,https://www.novinky.cz/clanek/komentare-komentar-poselstvi-vanocniho-roje-balistickych-strel-adela-knapova-40502466,2024-12-29-12-25
"Někde sněžná děla chrlí sníh, jinde ne. Vlekaře trápí inverzní počasí",https://www.novinky.cz/clanek/cestovani-nekde-snezna-dela-chrli-snih-jinde-ne-vlekare-trapi-inverzni-pocasi-40502392,2024-12-29-12-25
Montreal ohromila česká premiéra v NHL,https://www.sport.cz/clanek/hokej-nhl-gratulovala-i-legenda-montreal-ohromila-ceska-premiera-v-nhl-5042925,2024-12-29-12-25
Češi byli letos opět štědří. Vybrali přes miliardu a pomohli nemocným i zasaženým povodněmi,https://www.novinky.cz/clanek/domaci-cesi-byli-letos-opet-stedri-vybrali-pres-miliardu-a-pomohli-nemocnym-i-zasazenym-povodnemi-40502432,2024-12-29-12-25
KOMENTÁŘ: Vánoce v neklidné době – Alex Švamberk,https://www.novinky.cz/clanek/komentare-komentar-vanoce-v-neklidne-dobe-alex-svamberk-40502226,2024-12-29-12-25
Šofér a hrabě: Osudy dvou přímých svědků atentátu v Sarajevu,https://www.novinky.cz/clanek/historie-sofer-a-hrabe-osudy-dvou-primych-svedku-atentatu-v-sarajevu-40497454,2024-12-29-12-25
